Player,Player_ID,Height,Weight,Birth_Date,Club,Player_URL,Photo
Sophie Baggaley,410be8c7,168cm,64kg,"November 29, 1996",Brighton & Hove Albion,https://fbref.com/en/players/410be8c7/,media/logos/silueta.jpg
Courtney Brosnan,1cd91ff2,175cm,81kg,"November 10, 1995",Everton,https://fbref.com/en/players/1cd91ff2/,https://fbref.com/req/202302030/images/headshots/1cd91ff2_2022.jpg
Sabrina D'Angelo,b14d2016,173cm,71kg,"May 11, 1993",Aston Villa,https://fbref.com/en/players/b14d2016/,https://fbref.com/req/202302030/images/headshots/b14d2016_2022.jpg
Daphne van Domselaar,20dcbb3f,176cm,,"March 6, 2000",Arsenal,https://fbref.com/en/players/20dcbb3f/,https://fbref.com/req/202302030/images/headshots/20dcbb3f_2022.jpg
Hannah Hampton,87f3ffa4,173cm,,"November 16, 2000",Chelsea,https://fbref.com/en/players/87f3ffa4/,https://fbref.com/req/202302030/images/headshots/87f3ffa4_2022.jpg
Eleanor Heeps,8aee792b,,,"August 4, 2003",Tottenham Hotspur,https://fbref.com/en/players/8aee792b/,media/logos/silueta.jpg
Khiara Keating,20b9158f,,,"June 27, 2004",Manchester City,https://fbref.com/en/players/20b9158f/,media/logos/silueta.jpg
Lize Kop,4b78a53c,173cm,63kg,"March 17, 1998",Tottenham Hotspur,https://fbref.com/en/players/4b78a53c/,https://fbref.com/req/202302030/images/headshots/4b78a53c_2022.jpg
Rachael Laws,7b45e2ca,,,"November 5, 1990",Liverpool,https://fbref.com/en/players/7b45e2ca/,media/logos/silueta.jpg
Janina Leitzig,f2b936c8,184cm,,"April 16, 1999",Leicester City,https://fbref.com/en/players/f2b936c8/,https://fbref.com/req/202302030/images/headshots/f2b936c8_2022.jpg
Melina Loeck,82077469,,,"July 1, 2000",Brighton & Hove Albion,https://fbref.com/en/players/82077469/,https://fbref.com/req/202302030/images/headshots/82077469_2022.jpg
Milla-Maj Majasaari,e3948285,,,"October 15, 1999",Crystal Palace,https://fbref.com/en/players/e3948285/,media/logos/silueta.jpg
Teagan Micah,37b074b8,176cm,63kg,"October 20, 1997",Liverpool,https://fbref.com/en/players/37b074b8/,https://fbref.com/req/202302030/images/headshots/37b074b8_2022.jpg
Rebecca Spencer,c207731f,167cm,57kg,"February 22, 1991",Chelsea,https://fbref.com/en/players/c207731f/,https://fbref.com/req/202302030/images/headshots/c207731f_2022.jpg
Kinga Szemik,d14f2600,182cm,69kg,"June 25, 1997",West Ham United,https://fbref.com/en/players/d14f2600/,media/logos/silueta.jpg
Katelin Talbert,d6895869,181cm,,"October 9, 1998",Aston Villa,https://fbref.com/en/players/d6895869/,media/logos/silueta.jpg
Phallon Tullis-Joyce,3cbb2e2c,185cm,71kg,"October 19, 1996",Manchester United,https://fbref.com/en/players/3cbb2e2c/,media/logos/silueta.jpg
Ayaka Yamashita,004008b9,170cm,63kg,"September 29, 1995",Manchester City,https://fbref.com/en/players/004008b9/,https://fbref.com/req/202302030/images/headshots/004008b9_2022.jpg
Shae Yanez,26f967a8,173cm,,"May 22, 1997",Crystal Palace,https://fbref.com/en/players/26f967a8/,media/logos/silueta.jpg
Manuela Zinsberger,c7dc2a33,177cm,73kg,"October 19, 1995",Arsenal,https://fbref.com/en/players/c7dc2a33/,https://fbref.com/req/202302030/images/headshots/c7dc2a33_2022.jpg
